0, 26
1, 16
2, 22
3, 31
4, 36
5, 26
6, 15
7, 21
8, 26
9, 18
10, 17
11, 26
12, 18
13, 18
14, 28
15, 24
16, 18
17, 21
18, 34
19, 20
20, 30
21, 18
22, 18
23, 29
24, 22
25, 20
26, 21
27, 27
28, 39
29, 23
30, 22
31, 19
32, 29
33, 22
34, 21
35, 29
36, 35
37, 27
38, 30
39, 37
40, 28
41, 30
42, 16
43, 25
44, 30
45, 33
46, 21
47, 29
48, 24
49, 25
50, 14
51, 20
52, 22
53, 23
54, 27
55, 26
56, 22
57, 26
58, 26
59, 37
60, 20
61, 18
62, 23
63, 23
64, 25
65, 30
66, 24
67, 32
68, 20
69, 27
70, 30
71, 28
72, 28
73, 33
74, 16
75, 20
76, 29
77, 20
78, 24
79, 19
80, 21
81, 15
82, 19
83, 35
84, 29
85, 22
86, 28
87, 25
88, 31
89, 26
90, 31
91, 24
92, 15
93, 16
94, 35
95, 27
96, 25
97, 20
98, 31
99, 31
100, 26
101, 24
102, 29
103, 31
104, 22
105, 19
106, 23
107, 27
108, 19
109, 23
110, 31
111, 22
112, 25
113, 27
114, 20
115, 23
116, 19
117, 18
118, 23
119, 25
120, 23
121, 18
122, 21
123, 23
124, 26
125, 24
126, 20
127, 28
128, 30
129, 27
130, 17
131, 31
132, 20
133, 19
134, 27
135, 24
136, 25
137, 21
138, 33
139, 31
140, 22
141, 29
142, 28
143, 24
144, 30
145, 27
146, 24
147, 15
148, 25
149, 28
150, 18
151, 29
152, 24
153, 17
154, 15
155, 33
156, 23
157, 26
158, 32
159, 33
160, 23
161, 14
162, 34
163, 22
164, 35
165, 27
166, 16
167, 21
168, 22
169, 22
170, 21
171, 32
172, 20
173, 18
174, 18
175, 27
176, 26
177, 27
178, 26
179, 20
180, 21
181, 24
182, 30
183, 18
184, 21
185, 23
186, 28
187, 23
188, 30
189, 29
190, 24
191, 19
192, 29
193, 33
194, 19
195, 15
196, 28
197, 25
198, 21
199, 22
200, 24
201, 22
202, 28
203, 19
204, 20
205, 31
206, 34
207, 21
208, 31
209, 29
210, 32
211, 18
212, 29
213, 16
214, 24
215, 22
216, 34
217, 23
218, 32
219, 31
220, 15
221, 19
222, 27
223, 29
224, 31
225, 21
226, 20
227, 24
228, 19
229, 19
230, 29
231, 36
